171,4,89764,748,7
172,4,522,42195,8
173,4,478,73284,1
174,4,86132,069,0
175,4,331,51034,4
176,4,396,61218,4
177,4,09,405651,3
178,4,8165,0329,3
179,4,7503,1979,1
180,4,87999,936,9
181,4,08,720233,X
182,4,86063,068,8
183,4,492,60139,2
184,4,902099,69,1
185,4,7724,0820,7
186,4,18,626706,5
187,4,902244,12,8
188,4,7972,9298,9
189,4,502,37240,4
190,4,7765,0379,4
191,4,431,71131,7
192,4,86100,009,2
193,4,535,55415,3
194,4,7974,3772,3
195,4,8185,2402,6
196,4,499,22850,6
197,4,8222,4410,5
198,4,496,03710,6
199,4,495,18121,1
200,4,900277,40,1
201,4,322,10671,4
202,4,88769,123,8
203,4,88361,211,2
204,4,8301,1033,3
205,4,532,31154,3
206,4,478,47070,7
207,4,502,24520,8
208,4,419,04424,1
209,4,88214,507,3
210,4,492,53178,5
211,4,87791,132,4
212,4,532,31181,0
213,4,492,60143,0
214,4,8167,0599,6
215,4,907684,11,8
216,4,542,70144,1
217,4,8201,1803,X
218,4,502,37500,4
219,4,322,10591,2
220,4,502,37530,6
221,4,532,11040,8
222,4,542,92014,3
223,4,474,01868,0
224,4,502,37750,3
225,4,8201,1791,2
226,4,492,53189,0
227,4,08,760479,9
228,4,562,03847,0
229,4,322,10660,9
230,4,433,25984,5
231,4,88303,137,3
232,4,16,765143,2
233,4,87058,249,X
234,4,262,14713,4
235,4,88385,066,8
236,4,7724,0831,2
237,4,88602,634,6
238,4,8222,0791,9
239,4,8207,8819,1
240,4,492,55499,8
241,4,492,55528,5
242,4,422,30038,5
243,4,86031,020,9
244,92,894,0746,8
245,4,8309,4501,X
246,4,502,92280,3
247,4,657,04102,9
248,4,535,58332,3
249,4,275,00332,2
250,4,535,51329,5
251,4,623,04052,6
252,4,434,04725,6
253,4,00,027027,3
254,4,535,55371,8
255,4,426,77306,7
256,4,8443,1911,6
257,4,8163,3811,X
258,4,322,10622,6
259,4,7775,1093,X
260,4,7775,1015,8
261,4,88346,783,X
262,4,00,022134,5
263,4,901253,41,7
264,4,501,53730,2
265,4,621,07484,9
266,4,7668,1580,7
267,4,8355,9098,8
268,4,938664,89,5
269,4,938664,88,7
270,4,8449,8898,0
271,4,902223,33,3
272,4,902223,34,1
273,4,902223,35,X
274,4,902223,36,8
275,4,902223,37,6
276,4,902223,38,4
277,4,902223,39,2
278,4,902223,40,6
279,4,902223,41,4
280,4,902223,42,2
281,4,902223,43,0
282,4,902223,44,9
283,4,902223,25,2
284,4,902223,26,0
285,4,902223,27,9
286,4,902223,28,7
287,4,902223,29,5
288,4,902223,30,9
289,4,902223,31,7
290,4,902223,32,5
291,4,88399,367,1
292,4,322,10616,1
293,4,7650,0843,6
294,4,87465,743,5
295,4,502,65100,1
296,4,8106,0489,6
297,4,89477,175,6
298,4,88956,258,3
299,4,7684,3422,3
300,4,931097,14,6
301,4,07,241940,0
302,4,532,35106,5
303,4,89308,576,X
304,4,87795,061,3
305,4,7857,1123,X
306,4,274,07965,1
307,4,419,04338,5
308,4,542,92013,5
309,4,89600,669,0
310,4,8171,0367,1
311,4,8222,0794,3
312,4,8201,1800,5
313,4,902042,13,4
314,4,89443,281,1
315,4,87913,880,0
316,4,88990,113,2
317,4,18,225927,0
318,4,7710,1522,8
319,4,502,37580,2
320,4,86130,041,X
321,4,7561,4459,4
322,4,901380,22,2
323,4,8399,1646,2
324,4,7855,0243,6
325,4,7710,1542,2
326,4,502,59150,5
327,4,7897,2223,6
328,4,270,00037,6
329,4,87566,290,4
330,4,88745,073,7
331,4,391,61845,1
332,4,89814,535,3
333,4,89078,012,2
334,4,542,17276,7
335,4,542,17255,4
336,4,542,17365,8
337,4,7617,0620,1
338,4,322,10645,5
339,4,343,00266,7
340,4,87474,118,5
341,4,7619,1063,1
342,4,8210,7322,6
343,4,902244,16,0
344,4,921124,22,1
345,4,324,07103,9
346,4,938874,42,3
347,4,641,28098,3
348,4,02,261447,1
349,4,502,37340,0
350,4,478,47069,3
351,4,492,53172,6
352,4,8334,1803,7
353,4,478,37475,9
354,4,569,66196,3
355,4,532,31194,2
356,4,495,37261,0
357,4,495,18141,6
358,4,8222,4394,X
359,4,260,33386,0
360,4,260,33329,1
361,4,7973,2684,0
362,4,426,33415,2
363,4,7890,1158,5
364,4,8207,4224,8
365,4,627,94691,0
366,4,89346,828,6
367,4,8222,4392,3
368,4,901436,35,X
369,4,7974,4106,2
370,4,89100,445,2
371,4,915143,23,6
372,4,495,43761,5
373,4,14,081004,1
374,4,14,910546,4
375,4,14,910547,2
376,4,14,910545,6
377,4,14,910548,0
378,4,89380,297,6
379,4,7980,0808,7
380,4,00,009318,5
381,4,8113,7850,4
382,4,8113,7851,2
383,4,8113,7852,0
384,4,495,37271,8
385,4,88646,183,2
386,4,569,64074,5
387,4,532,11016,5
388,4,13,051309,5
389,4,532,31090,3
390,4,7955,2449,1
391,4,13,050157,7
392,4,434,04178,9
393,4,86186,169,1
394,4,901429,17,5
395,4,419,04374,1
396,4,7503,1951,1
397,4,7973,2590,9
398,4,526,05202,7
399,4,7923,3194,3
400,4,8174,0562,7
